datetimeLocal,CO,NO2,O3,PM10,PM2.5,SO2,hour,day,month,day_of_week,crop_burning,winter_inversion,diwali,T2M,WS2M,RH2M,PRECTOTCORR
2022-01-01 00:00:00,137.63,-9.12,31.53,53.22,72.01,15.14,0,1,1,5,0,1,0,8.54,2.32,50.63,0.37
2022-01-01 01:00:00,122.32,20.24,52.67,137.21,75.73,11.18,1,1,1,5,0,1,0,10.25,2.95,39.92,0.31
2022-01-01 02:00:00,154.28,10.27,53.14,117.76,82.8,2.06,2,1,1,5,0,1,0,10.74,3.47,57.84,0.12
2022-01-01 03:00:00,174.57,7.85,57.15,88.58,90.88,6.03,3,1,1,5,0,1,0,11.15,3.97,52.54,0.32
2022-01-01 04:00:00,724.29,33.88,43.58,355.8,243.74,6.71,4,1,1,5,0,1,0,15.83,1.18,51.03,0.22
2022-01-01 05:00:00,300.09,25.27,43.73,158.98,106.53,10.82,5,1,1,5,0,1,0,15.74,2.78,37.37,0.0
2022-01-01 06:00:00,197.4,20.84,50.25,154.91,110.41,4.7,6,1,1,5,0,1,0,16.15,3.5,49.81,0.42
2022-01-01 07:00:00,487.79,36.72,73.25,121.34,118.0,8.57,7,1,1,5,0,1,0,17.38,3.07,56.67,0.39
2022-01-01 08:00:00,469.34,19.08,43.83,185.58,125.82,10.58,8,1,1,5,0,1,0,14.66,1.96,56.41,0.54
2022-01-01 09:00:00,443.3,43.4,58.12,187.1,129.23,7.57,9,1,1,5,0,1,0,19.32,1.96,45.8,0.67
2022-01-01 10:00:00,510.12,8.7,39.31,147.48,138.25,4.94,10,1,1,5,0,1,0,16.48,1.9,62.25,0.04
2022-01-01 11:00:00,363.03,32.75,44.23,213.42,143.54,7.73,11,1,1,5,0,1,0,17.36,2.48,65.92,0.35
2022-01-01 12:00:00,237.61,43.57,50.01,213.25,145.91,9.77,12,1,1,5,0,1,0,19.97,1.27,55.01,2.08
2022-01-01 13:00:00,669.8,14.69,55.9,218.04,152.61,10.55,13,1,1,5,0,1,0,14.38,0.97,44.27,0.49
2022-01-01 14:00:00,561.42,20.4,48.4,193.32,154.71,5.33,14,1,1,5,0,1,0,13.03,2.08,54.51,0.15
2022-01-01 15:00:00,548.83,29.63,55.78,244.42,153.23,11.42,15,1,1,5,0,1,0,13.18,1.97,50.42,0.65
2022-01-01 16:00:00,267.37,27.93,61.77,212.03,159.79,9.05,16,1,1,5,0,1,0,17.82,1.81,61.76,0.56
2022-01-01 17:00:00,438.57,29.31,43.4,212.38,162.12,10.41,17,1,1,5,0,1,0,13.08,2.28,55.22,0.23
2022-01-01 18:00:00,563.58,42.86,50.15,216.44,160.47,3.48,18,1,1,5,0,1,0,13.6,2.08,59.01,0.75
2022-01-01 19:00:00,647.0,56.04,54.07,236.8,170.09,12.51,19,1,1,5,0,1,0,10.11,2.21,49.74,0.35
2022-01-01 20:00:00,304.78,41.51,36.55,245.13,172.73,8.03,20,1,1,5,0,1,0,6.79,2.41,55.31,0.53
2022-01-01 21:00:00,316.74,39.62,40.85,252.63,173.73,9.62,21,1,1,5,0,1,0,10.39,2.63,37.6,0.11
2022-01-01 22:00:00,278.2,31.0,37.15,211.67,170.11,7.15,22,1,1,5,0,1,0,11.24,3.88,33.98,0.06
2022-01-01 23:00:00,458.21,25.44,50.29,268.08,175.33,6.63,23,1,1,5,0,1,0,8.95,1.19,56.11,1.92
2022-01-02 00:00:00,362.3,48.7,44.19,289.38,180.72,10.01,0,2,1,6,0,1,0,10.93,2.46,45.69,0.46
2022-01-02 01:00:00,637.2,45.83,39.26,234.13,183.84,4.68,1,2,1,6,0,1,0,8.45,2.21,53.28,0.66
