datetimeLocal,CO,NO2,O3,PM10,PM2.5,SO2,hour,day,month,day_of_week,crop_burning,winter_inversion,diwali,T2M,WS2M,RH2M,PRECTOTCORR
2022-01-01 00:00:00,214.67,9.07,45.91,92.97,61.0,-0.68,0,1,1,5,0,1,0,9.38,3.37,55.62,0.04
2022-01-01 01:00:00,158.32,8.09,43.2,115.0,74.42,9.03,1,1,1,5,0,1,0,10.84,4.04,45.8,0.11
2022-01-01 02:00:00,220.53,14.62,54.05,102.39,86.4,12.6,2,1,1,5,0,1,0,10.32,2.4,47.42,0.12
2022-01-01 03:00:00,188.06,27.3,40.61,156.54,97.29,5.1,3,1,1,5,0,1,0,11.28,4.25,42.99,0.57
2022-01-01 04:00:00,347.16,36.68,47.22,134.27,104.37,9.21,4,1,1,5,0,1,0,13.49,2.18,60.65,0.29
2022-01-01 05:00:00,23.4,12.76,61.56,12.13,10.0,5.9,5,1,1,5,0,1,0,14.57,2.51,59.07,0.34
2022-01-01 06:00:00,295.34,10.47,58.99,146.1,121.36,3.31,6,1,1,5,0,1,0,15.28,2.44,64.0,0.65
2022-01-01 07:00:00,264.1,43.3,36.53,204.25,123.96,8.79,7,1,1,5,0,1,0,12.69,3.48,49.56,0.41
2022-01-01 08:00:00,478.2,29.56,46.12,191.09,128.87,4.98,8,1,1,5,0,1,0,15.16,3.17,41.7,0.05
2022-01-01 09:00:00,449.79,26.98,48.31,177.63,131.38,9.07,9,1,1,5,0,1,0,16.25,2.41,48.28,0.25
2022-01-01 10:00:00,368.62,34.88,57.78,237.33,132.67,3.66,10,1,1,5,0,1,0,18.64,2.94,56.27,0.1
2022-01-01 11:00:00,259.82,53.05,54.42,199.61,137.38,9.12,11,1,1,5,0,1,0,17.27,2.83,43.85,0.53
2022-01-01 12:00:00,584.31,28.75,47.12,228.37,141.11,3.18,12,1,1,5,0,1,0,16.14,1.89,57.11,0.26
2022-01-01 13:00:00,326.84,11.05,45.5,192.09,145.8,6.88,13,1,1,5,0,1,0,17.17,4.28,54.64,0.64
2022-01-01 14:00:00,176.21,8.78,67.46,125.62,93.62,2.93,14,1,1,5,0,1,0,16.32,3.41,52.07,0.0
2022-01-01 15:00:00,486.39,21.08,55.35,208.47,160.09,8.97,15,1,1,5,0,1,0,12.48,1.75,47.17,0.51
2022-01-01 16:00:00,542.32,37.74,58.1,198.32,167.26,12.91,16,1,1,5,0,1,0,14.81,1.0,42.26,0.36
2022-01-01 17:00:00,518.41,61.43,44.69,254.06,167.83,8.75,17,1,1,5,0,1,0,11.81,2.02,42.57,0.09
2022-01-01 18:00:00,416.89,34.66,58.34,233.26,168.59,8.48,18,1,1,5,0,1,0,12.05,1.7,66.84,0.33
2022-01-01 19:00:00,367.17,58.05,39.92,246.13,169.0,12.85,19,1,1,5,0,1,0,11.61,3.49,52.66,0.31
2022-01-01 20:00:00,307.23,34.61,44.36,269.67,172.64,10.09,20,1,1,5,0,1,0,7.99,2.44,57.99,0.05
