datetimeLocal,CO,NO2,O3,PM10,PM2.5,SO2,hour,day,month,day_of_week,crop_burning,winter_inversion,diwali,T2M,WS2M,RH2M,PRECTOTCORR
2022-01-01 00:00:00,248.31,9.9,43.33,109.11,59.0,5.62,0,1,1,5,0,1,0,8.13,1.39,36.82,8.11
2022-01-01 01:00:00,283.41,2.24,39.71,61.21,66.12,1.68,1,1,1,5,0,1,0,8.55,3.52,64.89,0.67
2022-01-01 02:00:00,518.12,21.49,40.59,156.49,141.14,3.49,2,1,1,5,0,1,0,10.33,3.8,53.01,5.43
2022-01-01 03:00:00,184.68,10.46,57.3,81.53,81.75,10.95,3,1,1,5,0,1,0,9.29,2.8,40.38,0.6
2022-01-01 04:00:00,310.49,13.82,44.36,136.09,86.24,1.34,4,1,1,5,0,1,0,9.02,3.69,60.43,0.05
2022-01-01 05:00:00,194.14,27.55,44.41,163.18,93.99,10.81,5,1,1,5,0,1,0,11.15,3.71,70.82,0.36
2022-01-01 06:00:00,71.85,-10.54,62.14,10.78,14.03,4.93,6,1,1,5,0,1,0,12.9,1.51,54.71,0.33
2022-01-01 07:00:00,262.78,17.62,52.79,139.35,95.96,1.89,7,1,1,5,0,1,0,14.08,1.67,49.76,0.54
2022-01-01 08:00:00,468.49,22.02,46.09,171.52,114.91,13.57,8,1,1,5,0,1,0,14.09,1.74,49.28,0.1
2022-01-01 09:00:00,269.6,24.46,58.74,154.97,119.8,4.74,9,1,1,5,0,1,0,16.65,3.07,42.77,0.65
2022-01-01 10:00:00,286.22,30.95,58.14,192.24,120.34,9.71,10,1,1,5,0,1,0,18.4,2.09,70.79,0.75
2022-01-01 11:00:00,418.08,28.68,46.5,110.07,123.93,6.38,11,1,1,5,0,1,0,17.34,2.04,56.51,3.07
2022-01-01 12:00:00,268.0,25.83,65.63,146.61,126.65,6.08,12,1,1,5,0,1,0,14.46,2.43,53.0,0.16
2022-01-01 13:00:00,299.47,22.65,61.01,203.88,128.93,3.96,13,1,1,5,0,1,0,14.74,2.34,59.55,0.51
2022-01-01 14:00:00,454.64,16.39,39.29,186.42,128.52,5.24,14,1,1,5,0,1,0,14.58,2.24,57.44,2.97
2022-01-01 15:00:00,366.16,29.97,44.7,163.72,147.62,8.41,15,1,1,5,0,1,0,13.47,1.65,42.69,0.44
2022-01-01 16:00:00,531.88,36.84,46.23,186.44,141.79,5.31,16,1,1,5,0,1,0,9.86,2.52,47.02,0.65
2022-01-01 17:00:00,468.8,19.12,60.58,216.78,143.0,9.32,17,1,1,5,0,1,0,8.03,3.02,45.51,0.7
2022-01-01 18:00:00,420.45,20.53,48.59,154.45,144.74,10.42,18,1,1,5,0,1,0,10.11,2.15,50.48,0.25
2022-01-01 19:00:00,418.12,34.45,49.65,163.39,150.06,8.53,19,1,1,5,0,1,0,11.93,1.92,53.28,0.58
2022-01-01 20:00:00,517.53,21.21,54.91,212.74,152.61,5.13,20,1,1,5,0,1,0,8.8,1.8,56.02,0.15
2022-01-01 21:00:00,466.9,28.35,48.39,202.29,153.05,10.12,21,1,1,5,0,1,0,9.43,2.98,45.1,0.46
2022-01-01 22:00:00,399.06,17.01,38.32,185.88,153.5,1.55,22,1,1,5,0,1,0,7.82,2.3,51.37,0.79
2022-01-01 23:00:00,171.04,20.51,59.52,130.82,90.73,6.59,23,1,1,5,0,1,0,7.6,2.13,45.22,0.31
2022-01-02 00:00:00,363.76,32.07,55.91,195.26,157.8,8.85,0,2,1,6,0,1,0,5.57,2.14,63.47,0.61
2022-01-02 01:00:00,305.01,33.24,43.26,218.83,138.09,10.23,1,2,1,6,0,1,0,10.64,3.46,54.54,0.43
2022-01-02 02:00:00,710.52,21.65,43.58,196.18,157.86,5.04,2,2,1,6,0,1,0,7.18,2.73,32.31,0.24
2022-01-02 03:00:00,804.91,45.57,45.55,382.75,276.76,8.88,3,2,1,6,0,1,0,10.4,3.55,62.14,0.56
2022-01-02 04:00:00,401.82,14.97,34.81,242.12,159.67,10.24,4,2,1,6,0,1,0,10.99,2.55,58.57,0.29
2022-01-02 05:00:00,171.86,11.29,57.27,107.08,72.4,4.83,5,2,1,6,0,1,0,9.17,4.51,63.74,0.64
2022-01-02 06:00:00,376.59,26.56,51.18,145.75,140.39,4.2,6,2,1,6,0,1,0,13.64,2.27,61.62,0.29
2022-01-02 07:00:00,288.36,55.0,49.24,245.64,158.42,6.36,7,2,1,6,0,1,0,12.02,3.01,66.78,2.12
2022-01-02 08:00:00,372.88,52.23,47.55,223.46,162.04,8.56,8,2,1,6,0,1,0,16.89,3.67,58.91,0.34
2022-01-02 09:00:00,458.97,35.77,76.97,190.29,162.14,9.46,9,2,1,6,0,1,0,16.54,3.09,65.98,2.61
2022-01-02 10:00:00,335.71,45.09,60.77,219.17,165.55,5.1,10,2,1,6,0,1,0,14.74,2.97,64.69,0.39
2022-01-02 11:00:00,747.35,52.72,59.25,272.81,167.43,2.3,11,2,1,6,0,1,0,14.56,1.12,52.4,0.45
2022-01-02 12:00:00,411.22,38.96,37.16,221.78,165.3,6.84,12,2,1,6,0,1,0,14.74,2.82,60.72,0.35
2022-01-02 13:00:00,328.24,15.24,51.95,76.91,58.5,3.87,13,2,1,6,0,1,0,15.96,2.06,53.31,0.73
2022-01-02 14:00:00,528.34,54.63,42.78,273.02,168.65,10.13,14,2,1,6,0,1,0,13.66,0.15,50.56,0.51
2022-01-02 15:00:00,436.38,45.31,51.26,363.2,260.8,12.6,15,2,1,6,0,1,0,17.0,1.84,44.64,0.56
2022-01-02 16:00:00,536.27,48.02,51.47,214.89,172.04,8.62,16,2,1,6,0,1,0,9.35,2.06,61.98,0.32
2022-01-02 17:00:00,384.39,27.33,51.49,262.09,170.92,13.42,17,2,1,6,0,1,0,11.39,2.72,60.18,0.33
2022-01-02 18:00:00,493.44,37.82,34.38,247.27,176.72,12.44,18,2,1,6,0,1,0,14.08,1.85,36.68,0.32
2022-01-02 19:00:00,957.87,62.18,47.05,429.22,305.03,10.49,19,2,1,6,0,1,0,4.54,3.72,54.17,0.77
2022-01-02 20:00:00,464.28,35.41,35.21,283.89,181.75,10.66,20,2,1,6,0,1,0,7.23,3.55,38.58,0.69
2022-01-02 21:00:00,321.32,4.43,28.51,244.33,183.7,6.28,21,2,1,6,0,1,0,8.46,3.01,47.91,0.67
2022-01-02 22:00:00,452.73,27.42,52.36,204.26,186.53,9.66,22,2,1,6,0,1,0,3.75,0.78,48.93,0.41
2022-01-02 23:00:00,403.08,54.81,52.25,189.55,180.91,7.15,23,2,1,6,0,1,0,9.52,2.87,57.16,0.25
2022-01-03 00:00:00,497.43,29.71,37.37,211.93,171.78,8.3,0,3,1,0,0,1,0,3.61,2.85,58.95,3.51
2022-01-03 01:00:00,361.33,48.73,45.85,286.71,183.98,10.41,1,3,1,0,0,1,0,8.1,2.68,56.22,0.48
2022-01-03 02:00:00,497.73,51.48,42.3,286.25,180.3,7.74,2,3,1,0,0,1,0,8.15,2.93,56.76,0.05
2022-01-03 03:00:00,396.84,32.69,40.78,294.66,176.57,7.97,3,3,1,0,0,1,0,7.69,4.4,64.74,0.5
2022-01-03 04:00:00,393.74,31.87,47.69,268.31,177.62,9.96,4,3,1,0,0,1,0,15.51,3.08,65.89,0.75
2022-01-03 05:00:00,633.83,29.3,53.56,249.92,177.42,3.84,5,3,1,0,0,1,0,9.5,1.53,52.25,0.23
2022-01-03 06:00:00,518.52,46.47,54.49,272.99,177.88,9.77,6,3,1,0,0,1,0,16.78,3.18,76.82,0.47
2022-01-03 07:00:00,448.42,32.14,60.41,322.31,174.66,3.83,7,3,1,0,0,1,0,15.11,2.48,56.79,0.25
2022-01-03 08:00:00,352.53,49.17,65.87,294.62,172.78,8.24,8,3,1,0,0,1,0,17.93,4.03,60.77,0.36
2022-01-03 09:00:00,313.78,39.14,37.38,218.37,173.1,10.77,9,3,1,0,0,1,0,14.92,3.58,67.09,0.7
2022-01-03 10:00:00,732.28,68.59,42.46,309.16,172.3,12.39,10,3,1,0,0,1,0,13.52,2.19,49.16,0.4
2022-01-03 11:00:00,569.09,50.99,46.95,234.05,170.17,3.59,11,3,1,0,0,1,0,14.82,1.06,83.39,0.12
2022-01-03 12:00:00,498.72,17.82,48.1,239.6,167.41,11.36,12,3,1,0,0,1,0,18.13,3.24,58.93,0.63
2022-01-03 13:00:00,443.03,16.63,55.92,287.72,171.15,5.41,13,3,1,0,0,1,0,10.96,2.48,49.51,0.38
2022-01-03 14:00:00,392.98,39.62,43.89,242.41,161.98,6.73,14,3,1,0,0,1,0,14.59,2.2,41.64,0.47
2022-01-03 15:00:00,528.89,8.59,66.74,254.37,163.07,10.12,15,3,1,0,0,1,0,14.82,3.36,34.14,0.04
2022-01-03 16:00:00,494.81,38.51,60.7,273.43,159.66,10.42,16,3,1,0,0,1,0,11.97,0.38,35.23,0.67
2022-01-03 17:00:00,397.26,48.94,31.0,177.4,164.69,6.81,17,3,1,0,0,1,0,8.79,1.32,57.23,0.08
2022-01-03 18:00:00,706.77,41.13,48.66,205.15,164.84,9.55,18,3,1,0,0,1,0,11.73,2.2,47.4,0.59
2022-01-03 19:00:00,351.88,69.69,44.71,258.22,171.32,11.3,19,3,1,0,0,1,0,10.25,2.06,66.0,0.54
2022-01-03 20:00:00,179.07,24.38,50.55,51.37,49.28,7.77,20,3,1,0,0,1,0,10.51,1.3,45.77,0.13
2022-01-03 21:00:00,35.79,5.93,47.29,25.91,10.0,3.38,21,3,1,0,0,1,0,9.8,1.19,42.14,2.07
2022-01-03 22:00:00,507.56,23.83,52.59,277.59,218.63,11.45,22,3,1,0,0,1,0,5.1,2.02,43.91,0.68
2022-01-03 23:00:00,653.09,23.89,48.31,204.13,164.26,11.08,23,3,1,0,0,1,0,6.55,3.24,43.94,0.31
2022-01-04 00:00:00,612.2,13.46,53.55,227.78,162.75,11.86,0,4,1,1,0,1,0,6.33,3.81,60.07,0.44
2022-01-04 01:00:00,620.64,33.58,37.88,220.34,164.94,6.87,1,4,1,1,0,1,0,6.51,1.56,71.23,0.44
2022-01-04 02:00:00,522.38,53.44,38.31,296.83,218.64,2.17,2,4,1,1,0,1,0,8.14,2.68,43.91,0.03
2022-01-04 03:00:00,434.41,51.22,45.74,203.71,168.26,8.38,3,4,1,1,0,1,0,8.04,1.98,54.85,0.67
