datetimeLocal,CO,NO2,O3,PM10,PM2.5,SO2,hour,day,month,day_of_week,crop_burning,winter_inversion,diwali,T2M,WS2M,RH2M,PRECTOTCORR
2022-01-01 00:00:00,226.24,0.68,47.66,111.58,60.0,8.46,0,1,1,5,0,1,0,14.01,1.65,72.54,0.0
2022-01-01 01:00:00,360.41,-1.46,61.7,114.72,63.05,5.84,1,1,1,5,0,1,0,19.45,1.63,58.86,0.0
2022-01-01 02:00:00,229.83,30.97,50.24,68.98,75.29,2.77,2,1,1,5,0,1,0,16.86,1.54,41.21,0.0
2022-01-01 03:00:00,145.61,3.11,53.64,63.9,78.4,8.83,3,1,1,5,0,1,0,19.79,2.13,70.43,0.0
2022-01-01 04:00:00,353.25,25.18,56.37,179.76,84.6,12.03,4,1,1,5,0,1,0,17.45,2.66,67.52,0.0
2022-01-01 05:00:00,0.05,4.22,52.92,-39.98,10.0,5.69,5,1,1,5,0,1,0,18.02,4.44,57.68,0.0
2022-01-01 06:00:00,325.1,9.38,59.21,199.6,100.09,7.41,6,1,1,5,0,1,0,19.81,2.17,60.43,0.0
2022-01-01 07:00:00,344.18,43.3,53.13,99.82,100.94,7.23,7,1,1,5,0,1,0,19.81,4.23,59.95,0.0
2022-01-01 08:00:00,239.52,-1.92,50.83,105.22,97.7,8.44,8,1,1,5,0,1,0,17.54,2.0,72.37,0.0
2022-01-01 09:00:00,242.92,25.75,45.74,157.64,107.3,5.42,9,1,1,5,0,1,0,12.39,2.99,43.9,0.0
2022-01-01 10:00:00,734.92,40.19,27.49,402.98,251.69,11.73,10,1,1,5,0,1,0,15.96,3.51,71.79,0.0
2022-01-01 11:00:00,352.62,24.98,59.57,116.6,116.82,9.66,11,1,1,5,0,1,0,16.7,3.64,63.94,0.0
2022-01-01 12:00:00,295.13,3.37,51.69,151.42,117.29,11.8,12,1,1,5,0,1,0,14.35,2.76,58.81,0.0
2022-01-01 13:00:00,462.18,20.59,42.39,124.92,122.03,7.66,13,1,1,5,0,1,0,14.18,2.46,58.33,0.0
2022-01-01 14:00:00,355.71,30.01,43.64,200.78,122.67,8.66,14,1,1,5,0,1,0,12.84,2.55,46.18,0.0
2022-01-01 15:00:00,320.94,24.6,56.88,161.98,121.61,11.13,15,1,1,5,0,1,0,8.6,2.91,53.15,0.0
2022-01-01 16:00:00,570.1,22.21,50.71,214.37,126.79,3.15,16,1,1,5,0,1,0,12.6,2.25,63.38,0.0
2022-01-01 17:00:00,332.77,27.43,54.37,201.09,121.2,8.91,17,1,1,5,0,1,0,9.27,2.95,75.33,0.0
2022-01-01 18:00:00,214.05,45.13,40.73,194.68,127.32,11.11,18,1,1,5,0,1,0,9.29,2.4,60.93,0.0
2022-01-01 19:00:00,299.62,33.18,60.78,193.24,131.98,3.86,19,1,1,5,0,1,0,11.62,4.28,60.87,0.0
2022-01-01 20:00:00,348.32,11.14,42.81,139.57,132.29,6.32,20,1,1,5,0,1,0,9.37,2.69,63.71,0.0
2022-01-01 21:00:00,523.37,19.33,63.91,172.76,136.73,8.33,21,1,1,5,0,1,0,11.99,2.82,63.17,0.0
2022-01-01 22:00:00,459.42,26.07,54.16,171.79,141.18,10.36,22,1,1,5,0,1,0,10.59,2.9,69.53,0.0
2022-01-01 23:00:00,547.81,-0.04,44.13,185.54,143.33,5.81,23,1,1,5,0,1,0,12.89,2.62,68.39,0.0
2022-01-02 00:00:00,351.12,28.81,61.38,224.31,148.58,12.65,0,2,1,6,0,1,0,13.43,2.46,64.24,0.0
2022-01-02 01:00:00,385.7,55.14,65.03,172.42,142.47,9.76,1,2,1,6,0,1,0,14.29,3.0,61.87,0.0
2022-01-02 02:00:00,258.82,-8.76,63.71,156.64,141.69,9.28,2,2,1,6,0,1,0,14.55,2.68,61.6,0.0
2022-01-02 03:00:00,303.92,25.56,54.04,198.62,137.79,8.17,3,2,1,6,0,1,0,16.92,2.84,66.55,0.0
2022-01-02 04:00:00,538.79,25.36,67.83,169.51,134.65,5.12,4,2,1,6,0,1,0,17.88,1.73,59.84,0.0
2022-01-02 05:00:00,380.2,50.82,70.66,200.97,127.74,10.44,5,2,1,6,0,1,0,19.89,3.29,71.11,0.0
2022-01-02 06:00:00,406.88,26.85,64.91,231.12,126.3,1.08,6,2,1,6,0,1,0,17.03,2.98,54.72,0.0
2022-01-02 07:00:00,532.44,-5.42,48.44,212.82,131.39,5.71,7,2,1,6,0,1,0,18.15,2.89,61.3,0.0
2022-01-02 08:00:00,447.72,19.02,56.58,216.86,133.75,7.97,8,2,1,6,0,1,0,22.06,1.81,72.17,0.0
2022-01-02 09:00:00,411.18,11.92,68.75,196.84,146.04,11.71,9,2,1,6,0,1,0,17.79,0.48,64.44,0.0
2022-01-02 10:00:00,-62.48,4.16,57.96,22.12,10.0,8.28,10,2,1,6,0,1,0,17.14,1.97,54.59,0.0
2022-01-02 11:00:00,387.49,32.95,49.84,192.95,146.28,9.61,11,2,1,6,0,1,0,16.08,1.85,59.73,0.0
2022-01-02 12:00:00,476.05,59.82,44.02,224.0,156.36,7.09,12,2,1,6,0,1,0,10.77,2.67,63.53,0.0
2022-01-02 13:00:00,486.89,14.99,48.89,204.73,154.04,6.4,13,2,1,6,0,1,0,12.65,2.64,66.56,0.0
2022-01-02 14:00:00,544.71,32.4,46.32,197.05,159.41,4.94,14,2,1,6,0,1,0,7.9,3.36,63.78,0.0
2022-01-02 15:00:00,474.23,36.47,63.02,225.27,160.41,6.59,15,2,1,6,0,1,0,13.07,1.34,70.81,0.0
2022-01-02 16:00:00,404.06,36.67,55.27,228.73,158.57,10.08,16,2,1,6,0,1,0,14.11,2.58,77.62,0.0
2022-01-02 17:00:00,498.0,23.49,53.13,252.83,163.69,8.67,17,2,1,6,0,1,0,9.26,2.5,61.24,0.0
2022-01-02 18:00:00,616.51,66.6,48.61,317.46,191.61,12.83,18,2,1,6,0,1,0,13.7,2.95,68.25,0.0
2022-01-02 19:00:00,523.22,41.65,43.2,194.26,165.54,11.55,19,2,1,6,0,1,0,8.07,2.31,63.81,0.0
2022-01-02 20:00:00,1121.38,78.47,37.52,553.99,401.78,14.97,20,2,1,6,0,1,0,8.33,2.42,61.81,5.86
2022-01-02 21:00:00,474.33,45.79,65.09,201.2,152.9,9.0,21,2,1,6,0,1,0,12.46,3.25,67.07,4.13
2022-01-02 22:00:00,480.05,36.5,46.24,159.09,151.53,7.83,22,2,1,6,0,1,0,10.55,2.74,60.08,0.3
2022-01-02 23:00:00,431.99,48.12,46.08,215.81,149.91,7.1,23,2,1,6,0,1,0,12.15,2.92,63.0,0.0
2022-01-03 00:00:00,370.71,27.54,50.53,166.89,150.15,13.4,0,3,1,0,0,1,0,16.23,1.99,84.69,0.0
2022-01-03 01:00:00,442.98,6.99,60.73,184.83,150.68,8.74,1,3,1,0,0,1,0,13.15,3.71,66.35,0.0
2022-01-03 02:00:00,451.89,11.3,69.57,174.0,142.66,11.39,2,3,1,0,0,1,0,15.5,2.27,60.82,0.0
2022-01-03 03:00:00,350.37,23.56,60.43,193.95,136.7,12.19,3,3,1,0,0,1,0,16.65,1.73,63.07,0.0
2022-01-03 04:00:00,603.8,28.07,58.07,186.05,135.43,8.34,4,3,1,0,0,1,0,18.28,3.29,53.12,0.0
2022-01-03 05:00:00,371.39,17.83,46.36,198.28,133.35,10.56,5,3,1,0,0,1,0,19.39,2.57,60.77,0.0
2022-01-03 06:00:00,-21.43,15.45,67.84,59.83,10.0,7.2,6,3,1,0,0,1,0,17.85,1.67,61.65,0.0
2022-01-03 07:00:00,454.39,25.27,60.15,152.31,130.82,8.49,7,3,1,0,0,1,0,15.53,2.41,77.12,0.0
2022-01-03 08:00:00,362.94,37.21,76.64,95.89,84.47,10.88,8,3,1,0,0,1,0,19.55,3.84,58.77,0.0
2022-01-03 09:00:00,511.4,25.75,56.93,151.02,129.27,8.71,9,3,1,0,0,1,0,22.64,3.63,58.37,0.0
2022-01-03 10:00:00,377.74,43.09,63.77,187.3,136.84,15.58,10,3,1,0,0,1,0,17.7,2.92,65.69,2.96
2022-01-03 11:00:00,466.47,0.93,46.15,173.37,146.16,9.32,11,3,1,0,0,1,0,16.22,1.35,65.38,0.0
2022-01-03 12:00:00,340.15,28.38,57.59,239.96,150.35,10.25,12,3,1,0,0,1,0,13.31,2.77,67.49,0.0
2022-01-03 13:00:00,586.66,16.61,57.35,104.45,150.46,6.65,13,3,1,0,0,1,0,12.52,1.91,62.38,0.0
2022-01-03 14:00:00,407.7,15.11,44.76,212.2,146.07,7.9,14,3,1,0,0,1,0,9.28,2.72,64.92,0.0
2022-01-03 15:00:00,590.91,58.04,52.57,197.99,150.78,7.56,15,3,1,0,0,1,0,12.47,3.03,76.39,0.0
