datetimeLocal,CO,NO2,O3,PM10,PM2.5,SO2,hour,day,month,day_of_week,crop_burning,winter_inversion,diwali,T2M,WS2M,RH2M,PRECTOTCORR
2022-01-01 00:00:00,259.4,33.74,42.86,88.27,67.0,5.65,0,1,1,5,0,1,0,9.07,3.96,57.4,0.07
2022-01-01 01:00:00,130.78,26.4,51.44,88.49,71.19,5.58,1,1,1,5,0,1,0,13.34,2.92,63.98,7.21
2022-01-01 02:00:00,199.2,-4.84,54.25,186.52,82.54,5.6,2,1,1,5,0,1,0,11.78,2.58,64.63,0.26
2022-01-01 03:00:00,110.31,7.4,57.7,134.65,88.77,7.09,3,1,1,5,0,1,0,14.07,2.23,62.52,0.39
2022-01-01 04:00:00,295.37,36.13,56.0,204.41,101.41,9.79,4,1,1,5,0,1,0,15.2,2.41,65.67,0.64
2022-01-01 05:00:00,190.69,6.08,54.07,187.45,110.13,7.01,5,1,1,5,0,1,0,11.73,3.02,59.97,0.15
2022-01-01 06:00:00,400.42,43.43,58.0,175.85,116.79,10.77,6,1,1,5,0,1,0,17.69,2.98,65.32,0.05
2022-01-01 07:00:00,406.5,49.03,48.66,147.54,125.32,9.19,7,1,1,5,0,1,0,15.72,2.98,80.12,0.38
2022-01-01 08:00:00,953.42,78.25,41.07,459.86,342.51,15.29,8,1,1,5,0,1,0,15.96,2.72,64.94,0.51
2022-01-01 09:00:00,266.68,34.24,46.41,171.85,136.24,7.37,9,1,1,5,0,1,0,21.25,2.16,63.69,0.58
2022-01-01 10:00:00,376.73,18.82,43.74,233.16,143.54,12.05,10,1,1,5,0,1,0,16.1,1.71,70.14,0.57
2022-01-01 11:00:00,425.26,24.45,48.04,205.71,147.15,6.94,11,1,1,5,0,1,0,16.17,1.82,49.77,0.49
2022-01-01 12:00:00,361.52,-1.38,59.29,229.14,149.95,9.66,12,1,1,5,0,1,0,17.4,2.56,70.3,0.2
2022-01-01 13:00:00,599.37,27.63,56.64,187.17,152.33,7.98,13,1,1,5,0,1,0,21.37,1.29,37.61,0.21
2022-01-01 14:00:00,507.42,24.36,57.25,223.08,157.12,5.49,14,1,1,5,0,1,0,19.65,2.86,63.51,0.73
2022-01-01 15:00:00,597.93,13.14,50.38,161.96,159.58,9.59,15,1,1,5,0,1,0,16.53,1.74,49.05,0.5
2022-01-01 16:00:00,358.96,52.69,61.58,192.04,155.5,8.77,16,1,1,5,0,1,0,19.42,2.57,65.94,1.21
