datetimeLocal,CO,NO2,O3,PM10,PM2.5,SO2,hour,day,month,day_of_week,crop_burning,winter_inversion,diwali,T2M,WS2M,RH2M,PRECTOTCORR
2022-01-01 00:00:00,204.67,24.94,34.62,-6.32,56.0,1.72,0,1,1,5,0,1,0,3.98,4.45,41.32,0.75
2022-01-01 01:00:00,132.21,24.92,51.4,104.12,67.17,7.46,1,1,1,5,0,1,0,6.42,3.1,60.17,1.67
2022-01-01 02:00:00,217.32,21.06,46.98,115.78,71.78,7.79,2,1,1,5,0,1,0,8.35,5.08,58.76,0.48
2022-01-01 03:00:00,327.05,16.81,34.0,127.8,77.85,5.52,3,1,1,5,0,1,0,4.67,3.86,52.29,0.54
2022-01-01 04:00:00,400.06,21.88,47.53,110.96,81.99,5.78,4,1,1,5,0,1,0,6.23,2.01,59.6,0.48
2022-01-01 05:00:00,338.49,35.94,50.65,110.97,91.26,2.94,5,1,1,5,0,1,0,8.13,4.06,56.05,0.32
2022-01-01 06:00:00,308.4,-4.95,46.0,74.16,94.22,6.99,6,1,1,5,0,1,0,13.04,4.45,54.07,0.06
2022-01-01 07:00:00,268.84,45.61,47.84,132.33,104.68,6.76,7,1,1,5,0,1,0,14.15,3.37,59.1,0.14
2022-01-01 08:00:00,231.88,46.69,60.45,137.13,108.02,3.41,8,1,1,5,0,1,0,13.3,2.84,47.62,0.45
2022-01-01 09:00:00,234.68,25.33,62.22,212.07,109.38,4.92,9,1,1,5,0,1,0,14.08,2.97,52.76,0.23
2022-01-01 10:00:00,448.36,28.88,48.23,153.73,108.66,10.67,10,1,1,5,0,1,0,12.26,4.24,36.53,0.03
2022-01-01 11:00:00,186.74,31.51,43.06,144.76,114.81,5.16,11,1,1,5,0,1,0,11.14,3.58,56.36,0.09
2022-01-01 12:00:00,454.96,28.32,31.06,192.63,120.63,9.24,12,1,1,5,0,1,0,14.21,3.0,52.08,0.28
2022-01-01 13:00:00,334.66,5.82,48.8,177.36,127.64,7.09,13,1,1,5,0,1,0,14.27,1.87,44.37,0.24
2022-01-01 14:00:00,451.04,15.46,51.33,115.62,132.91,5.71,14,1,1,5,0,1,0,11.88,3.71,57.51,0.05
2022-01-01 15:00:00,447.29,25.13,51.91,216.38,133.26,7.11,15,1,1,5,0,1,0,7.23,3.15,48.76,0.37
2022-01-01 16:00:00,451.21,13.64,50.82,149.78,133.66,10.72,16,1,1,5,0,1,0,10.73,2.19,45.73,0.59
2022-01-01 17:00:00,270.58,33.54,40.41,190.88,138.45,7.46,17,1,1,5,0,1,0,9.44,3.27,44.56,0.33
2022-01-01 18:00:00,521.52,9.72,55.71,246.42,146.04,7.11,18,1,1,5,0,1,0,6.68,3.0,51.47,0.79
2022-01-01 19:00:00,456.19,35.02,44.99,163.41,142.43,10.96,19,1,1,5,0,1,0,8.89,4.05,39.65,1.08
2022-01-01 20:00:00,422.27,37.99,44.53,181.27,144.76,9.47,20,1,1,5,0,1,0,9.46,3.01,50.38,0.76
2022-01-01 21:00:00,420.59,32.71,48.1,177.33,148.95,6.83,21,1,1,5,0,1,0,7.74,3.89,36.03,0.23
2022-01-01 22:00:00,593.69,49.03,39.94,169.04,149.6,12.27,22,1,1,5,0,1,0,6.02,3.81,42.39,0.48
2022-01-01 23:00:00,422.13,16.74,44.78,165.75,152.65,5.65,23,1,1,5,0,1,0,4.57,3.37,57.15,0.67
2022-01-02 00:00:00,145.86,2.47,43.05,103.46,52.17,1.36,0,2,1,6,0,1,0,6.95,1.86,39.59,0.31
2022-01-02 01:00:00,364.88,38.94,54.12,265.62,155.07,3.61,1,2,1,6,0,1,0,3.81,2.64,47.84,0.6
2022-01-02 02:00:00,495.41,51.61,41.08,169.53,154.81,9.93,2,2,1,6,0,1,0,8.76,3.9,52.16,0.2
2022-01-02 03:00:00,469.11,25.58,42.64,213.48,156.69,6.22,3,2,1,6,0,1,0,9.46,3.6,59.06,0.46
2022-01-02 04:00:00,400.87,39.87,50.51,234.36,156.45,9.78,4,2,1,6,0,1,0,9.09,3.26,57.25,0.14
2022-01-02 05:00:00,526.21,45.61,48.15,237.08,158.3,6.11,5,2,1,6,0,1,0,11.94,3.29,43.37,0.71
2022-01-02 06:00:00,548.14,47.93,49.05,221.36,159.61,8.46,6,2,1,6,0,1,0,9.98,3.51,53.59,0.03
2022-01-02 07:00:00,430.24,33.36,41.77,173.1,153.77,9.16,7,2,1,6,0,1,0,13.47,3.78,42.61,0.54
2022-01-02 08:00:00,377.49,21.77,61.51,192.73,153.35,5.89,8,2,1,6,0,1,0,13.54,3.26,42.06,0.22
2022-01-02 09:00:00,443.17,24.42,53.64,180.92,162.63,9.34,9,2,1,6,0,1,0,12.96,1.96,59.53,0.07
2022-01-02 10:00:00,533.28,46.61,44.69,204.31,159.33,4.28,10,2,1,6,0,1,0,14.85,2.25,52.59,0.74
2022-01-02 11:00:00,561.87,16.86,58.56,211.23,161.76,5.59,11,2,1,6,0,1,0,12.09,2.87,36.08,0.72
2022-01-02 12:00:00,383.77,27.54,46.75,231.41,161.02,6.2,12,2,1,6,0,1,0,12.5,2.7,39.9,0.36
2022-01-02 13:00:00,350.77,56.69,48.45,211.46,158.76,1.05,13,2,1,6,0,1,0,9.54,3.45,25.76,0.73
2022-01-02 14:00:00,591.45,51.69,50.47,258.07,159.84,9.09,14,2,1,6,0,1,0,12.08,3.5,43.01,0.41
2022-01-02 15:00:00,476.85,15.89,49.61,239.9,157.76,9.86,15,2,1,6,0,1,0,12.29,1.87,61.68,0.54
2022-01-02 16:00:00,467.47,73.35,25.68,217.4,156.86,12.39,16,2,1,6,0,1,0,11.52,1.36,62.67,0.39
2022-01-02 17:00:00,221.08,31.68,47.03,215.4,159.48,9.7,17,2,1,6,0,1,0,9.94,1.31,53.31,0.07
2022-01-02 18:00:00,1036.16,62.44,40.54,373.27,297.45,11.89,18,2,1,6,0,1,0,9.47,2.64,39.78,0.46
2022-01-02 19:00:00,452.25,23.33,51.05,198.25,161.07,10.4,19,2,1,6,0,1,0,9.07,2.11,48.21,0.73
2022-01-02 20:00:00,270.61,53.17,36.5,229.18,162.28,7.24,20,2,1,6,0,1,0,3.52,4.04,41.12,0.58
2022-01-02 21:00:00,569.66,23.42,36.56,258.23,161.84,6.66,21,2,1,6,0,1,0,5.2,3.1,55.24,0.19
2022-01-02 22:00:00,401.38,36.5,49.51,217.73,162.78,4.78,22,2,1,6,0,1,0,3.97,4.1,59.07,0.37
2022-01-02 23:00:00,611.45,51.66,43.68,329.7,237.9,10.96,23,2,1,6,0,1,0,4.85,3.52,43.28,0.76
2022-01-03 00:00:00,468.67,30.42,40.54,258.96,165.37,3.93,0,3,1,0,0,1,0,6.12,3.58,47.33,0.5
2022-01-03 01:00:00,403.04,26.01,37.39,230.2,193.0,8.43,1,3,1,0,0,1,0,8.32,3.07,81.68,0.58
2022-01-03 02:00:00,404.65,48.21,36.45,300.83,169.16,6.42,2,3,1,0,0,1,0,6.1,3.49,52.15,0.52
2022-01-03 03:00:00,533.59,44.11,29.9,203.44,167.75,9.73,3,3,1,0,0,1,0,6.44,4.6,64.74,0.76
2022-01-03 04:00:00,601.6,50.89,51.72,184.72,165.01,9.27,4,3,1,0,0,1,0,4.71,2.55,56.11,6.46
2022-01-03 05:00:00,461.34,27.76,47.06,294.91,176.24,12.43,5,3,1,0,0,1,0,12.26,4.67,57.46,0.59
2022-01-03 06:00:00,479.02,32.66,50.74,224.46,164.17,4.4,6,3,1,0,0,1,0,9.72,3.1,45.95,0.52
2022-01-03 07:00:00,395.44,51.74,45.62,241.3,162.08,3.06,7,3,1,0,0,1,0,14.38,3.4,63.01,0.39
2022-01-03 08:00:00,392.68,33.94,50.49,191.9,160.59,2.01,8,3,1,0,0,1,0,13.36,3.0,62.46,0.05
2022-01-03 09:00:00,277.28,20.13,45.23,68.47,88.63,6.69,9,3,1,0,0,1,0,11.76,3.26,60.96,0.67
2022-01-03 10:00:00,462.08,39.25,55.86,230.02,161.51,13.68,10,3,1,0,0,1,0,10.15,2.79,50.04,0.01
2022-01-03 11:00:00,344.19,25.17,58.7,231.38,156.47,4.81,11,3,1,0,0,1,0,12.07,2.05,42.34,0.38
2022-01-03 12:00:00,297.91,36.48,46.31,219.98,151.63,9.88,12,3,1,0,0,1,0,12.71,3.65,51.03,0.58
2022-01-03 13:00:00,571.05,36.12,58.16,213.8,152.44,5.83,13,3,1,0,0,1,0,12.62,1.45,54.86,0.35
2022-01-03 14:00:00,489.88,60.2,49.08,205.01,149.15,14.6,14,3,1,0,0,1,0,13.24,2.96,53.29,0.15
2022-01-03 15:00:00,495.25,39.82,27.82,215.6,150.1,7.69,15,3,1,0,0,1,0,8.55,3.73,38.99,0.3
2022-01-03 16:00:00,357.84,41.67,50.76,247.43,158.42,11.4,16,3,1,0,0,1,0,9.17,3.08,32.13,0.18
2022-01-03 17:00:00,627.41,45.49,44.47,216.27,160.12,9.44,17,3,1,0,0,1,0,8.39,2.46,39.36,0.63
2022-01-03 18:00:00,497.82,68.55,48.25,219.63,162.93,6.41,18,3,1,0,0,1,0,10.12,1.37,40.06,0.38
2022-01-03 19:00:00,513.22,32.2,47.35,279.05,160.51,6.63,19,3,1,0,0,1,0,8.19,2.96,44.17,0.32
2022-01-03 20:00:00,425.53,31.44,37.41,227.69,159.4,8.7,20,3,1,0,0,1,0,6.47,2.5,29.36,2.39
2022-01-03 21:00:00,460.82,39.06,37.27,240.84,157.48,11.17,21,3,1,0,0,1,0,5.51,3.88,42.77,1.14
2022-01-03 22:00:00,357.47,31.72,43.74,219.65,164.76,7.3,22,3,1,0,0,1,0,3.19,2.83,54.48,0.46
2022-01-03 23:00:00,589.87,38.62,44.06,248.98,167.73,8.07,23,3,1,0,0,1,0,5.62,2.18,59.43,0.28
2022-01-04 00:00:00,657.18,32.65,38.54,258.06,174.42,9.44,0,4,1,1,0,1,0,1.01,2.86,51.95,0.62
2022-01-04 01:00:00,597.34,12.58,42.93,253.37,175.11,5.7,1,4,1,1,0,1,0,3.31,3.93,53.69,0.14
2022-01-04 02:00:00,411.14,32.34,31.84,246.54,171.25,15.82,2,4,1,1,0,1,0,5.11,2.85,34.46,0.59
2022-01-04 03:00:00,601.13,31.44,40.78,256.5,166.02,7.91,3,4,1,1,0,1,0,8.35,4.94,69.07,0.64
2022-01-04 04:00:00,609.55,15.83,25.45,254.51,240.63,12.66,4,4,1,1,0,1,0,9.44,5.12,49.16,0.46
2022-01-04 05:00:00,408.42,40.24,42.25,155.52,148.14,9.49,5,4,1,1,0,1,0,10.49,5.27,61.23,0.14
2022-01-04 06:00:00,731.49,55.61,44.5,411.4,283.61,14.78,6,4,1,1,0,1,0,12.05,3.36,48.14,0.58
2022-01-04 07:00:00,404.67,57.71,45.45,212.46,153.19,10.77,7,4,1,1,0,1,0,10.28,3.33,55.47,0.61
2022-01-04 08:00:00,325.53,34.82,47.23,145.86,148.96,6.41,8,4,1,1,0,1,0,11.71,2.98,46.89,0.34
2022-01-04 09:00:00,435.28,31.27,43.22,158.3,149.13,7.18,9,4,1,1,0,1,0,10.89,3.6,40.49,0.28
2022-01-04 10:00:00,468.32,43.91,45.54,218.7,150.5,6.4,10,4,1,1,0,1,0,13.71,3.73,68.02,0.19
2022-01-04 11:00:00,389.84,45.47,41.34,169.28,152.76,10.17,11,4,1,1,0,1,0,10.82,3.04,55.02,0.6
2022-01-04 12:00:00,271.67,18.99,61.0,274.32,149.97,10.0,12,4,1,1,0,1,0,13.55,3.99,53.77,0.77
2022-01-04 13:00:00,372.36,7.27,49.51,233.08,153.22,11.25,13,4,1,1,0,1,0,17.54,1.24,46.4,0.46
2022-01-04 14:00:00,652.0,49.9,39.57,212.78,155.29,8.22,14,4,1,1,0,1,0,15.26,1.81,59.61,0.48
2022-01-04 15:00:00,319.55,45.76,43.36,173.82,156.74,8.52,15,4,1,1,0,1,0,10.18,3.24,53.79,0.02
2022-01-04 16:00:00,420.6,22.17,41.5,150.79,156.89,5.57,16,4,1,1,0,1,0,8.32,2.77,50.85,0.01
2022-01-04 17:00:00,805.22,35.45,38.39,376.27,302.35,10.65,17,4,1,1,0,1,0,9.54,4.71,48.48,0.67
2022-01-04 18:00:00,363.08,33.16,50.82,268.82,154.85,2.99,18,4,1,1,0,1,0,6.93,2.03,50.72,0.3
2022-01-04 19:00:00,189.79,-1.44,50.36,223.85,157.14,9.1,19,4,1,1,0,1,0,6.19,1.77,46.28,0.77
2022-01-04 20:00:00,405.56,25.93,55.87,197.14,159.96,10.89,20,4,1,1,0,1,0,10.3,4.19,39.99,0.11
2022-01-04 21:00:00,477.39,36.67,43.22,256.31,164.56,8.97,21,4,1,1,0,1,0,4.01,3.34,36.55,0.21
2022-01-04 22:00:00,505.4,47.62,43.22,237.24,162.78,5.69,22,4,1,1,0,1,0,5.98,2.44,44.31,0.29
2022-01-04 23:00:00,180.59,16.03,54.52,53.43,56.35,3.08,23,4,1,1,0,1,0,5.05,3.8,56.63,0.7
2022-01-05 00:00:00,555.13,15.58,42.0,237.3,161.33,6.47,0,5,1,2,0,1,0,8.55,4.06,43.7,0.14
2022-01-05 01:00:00,427.95,19.4,49.76,245.25,163.48,2.13,1,5,1,2,0,1,0,6.84,2.97,40.28,0.47
2022-01-05 02:00:00,493.12,9.99,35.1,246.26,161.06,9.76,2,5,1,2,0,1,0,5.47,5.13,52.37,0.32
2022-01-05 03:00:00,528.95,9.22,41.4,203.98,159.0,2.96,3,5,1,2,0,1,0,9.95,3.06,58.55,0.27
2022-01-05 04:00:00,419.16,15.0,48.1,232.55,150.52,5.91,4,5,1,2,0,1,0,9.12,5.32,27.41,8.04
2022-01-05 05:00:00,311.52,19.41,46.33,152.89,124.99,10.82,5,5,1,2,0,1,0,7.81,5.55,64.49,0.17
2022-01-05 06:00:00,486.27,15.08,35.79,200.34,147.93,9.79,6,5,1,2,0,1,0,9.2,2.55,54.49,0.15
2022-01-05 07:00:00,305.75,28.5,46.31,200.33,144.58,4.94,7,5,1,2,0,1,0,7.86,3.16,72.21,0.62
2022-01-05 08:00:00,624.28,18.31,46.07,319.2,183.03,7.24,8,5,1,2,0,1,0,11.26,3.87,51.63,0.76
2022-01-05 09:00:00,436.2,14.57,44.58,144.74,138.41,12.45,9,5,1,2,0,1,0,12.75,2.15,57.77,0.13
2022-01-05 10:00:00,387.09,0.29,62.06,137.35,137.05,6.01,10,5,1,2,0,1,0,12.29,2.56,41.01,0.74
2022-01-05 11:00:00,734.17,57.0,35.43,335.17,197.35,7.54,11,5,1,2,0,1,0,11.43,2.71,44.3,0.53
2022-01-05 12:00:00,469.75,47.41,50.36,217.95,160.51,10.53,12,5,1,2,0,1,0,12.74,4.31,63.91,0.11
2022-01-05 13:00:00,395.21,10.94,49.54,217.76,142.06,2.76,13,5,1,2,0,1,0,11.54,2.79,42.75,0.35
2022-01-05 14:00:00,900.38,89.27,35.84,469.51,364.07,14.39,14,5,1,2,0,1,0,11.78,1.27,35.27,0.17
