datetimeLocal,CO,NO2,O3,PM10,PM2.5,SO2,hour,day,month,day_of_week,crop_burning,winter_inversion,diwali,T2M,WS2M,RH2M,PRECTOTCORR
2022-01-01 00:00:00,202.03,-6.07,49.98,72.09,50.0,0.1,0,1,1,5,0,1,0,9.28,2.54,43.9,0.45
2022-01-01 01:00:00,125.34,14.5,55.0,95.59,63.36,6.18,1,1,1,5,0,1,0,7.75,2.02,64.47,0.57
2022-01-01 02:00:00,133.79,24.05,55.43,119.54,71.75,3.83,2,1,1,5,0,1,0,8.13,3.73,59.27,0.51
2022-01-01 03:00:00,-59.49,-14.72,42.61,45.67,36.04,8.64,3,1,1,5,0,1,0,7.59,3.32,64.87,0.34
2022-01-01 04:00:00,244.68,14.52,42.66,80.97,85.64,7.87,4,1,1,5,0,1,0,11.15,2.75,60.96,0.4
2022-01-01 05:00:00,201.3,32.29,48.97,157.98,89.66,6.15,5,1,1,5,0,1,0,11.12,4.4,40.88,0.01
2022-01-01 06:00:00,201.29,18.75,55.01,167.68,96.83,8.34,6,1,1,5,0,1,0,10.55,3.48,36.87,0.62
2022-01-01 07:00:00,368.49,36.9,56.47,139.4,104.26,6.93,7,1,1,5,0,1,0,11.98,3.16,57.0,0.47
2022-01-01 08:00:00,273.03,15.75,57.17,150.29,111.54,5.66,8,1,1,5,0,1,0,9.09,1.81,53.74,0.75
2022-01-01 09:00:00,370.96,9.44,43.39,159.41,116.24,4.35,9,1,1,5,0,1,0,14.25,3.31,66.09,0.67
2022-01-01 10:00:00,423.11,17.34,42.45,157.01,118.69,12.25,10,1,1,5,0,1,0,13.92,3.37,67.43,0.05
2022-01-01 11:00:00,412.05,39.11,62.21,188.56,116.61,7.79,11,1,1,5,0,1,0,8.77,2.95,47.46,0.44
2022-01-01 12:00:00,253.93,26.32,43.08,187.83,119.79,9.48,12,1,1,5,0,1,0,15.47,1.87,44.48,0.54
2022-01-01 13:00:00,614.03,20.81,42.19,312.08,211.75,13.87,13,1,1,5,0,1,0,13.55,2.54,50.97,0.09
2022-01-01 14:00:00,64.18,-2.42,60.57,64.87,15.68,6.69,14,1,1,5,0,1,0,12.81,2.18,43.52,0.24
2022-01-01 15:00:00,378.06,28.85,51.93,211.22,127.54,2.59,15,1,1,5,0,1,0,10.51,3.06,41.11,0.37
