datetimeLocal,CO,NO2,O3,PM10,PM2.5,SO2,hour,day,month,day_of_week,crop_burning,winter_inversion,diwali,T2M,WS2M,RH2M,PRECTOTCORR
2022-01-01 00:00:00,35.85,6.82,35.73,48.98,58.0,7.21,0,1,1,5,0,1,0,8.73,0.54,63.89,0.27
2022-01-01 01:00:00,79.24,25.63,43.92,150.62,73.7,8.78,1,1,1,5,0,1,0,7.07,2.96,46.74,0.27
2022-01-01 02:00:00,249.81,49.14,29.92,87.49,82.02,5.3,2,1,1,5,0,1,0,7.89,3.37,58.03,0.75
2022-01-01 03:00:00,376.88,5.37,30.11,130.55,92.06,3.84,3,1,1,5,0,1,0,7.65,3.06,57.73,0.3
2022-01-01 04:00:00,293.58,27.71,48.68,127.52,93.37,5.49,4,1,1,5,0,1,0,8.11,3.24,67.86,0.31
2022-01-01 05:00:00,395.03,-12.77,39.08,114.36,101.06,6.49,5,1,1,5,0,1,0,8.71,2.92,76.48,0.57
2022-01-01 06:00:00,404.99,19.46,48.79,103.51,103.06,8.88,6,1,1,5,0,1,0,13.83,3.14,46.73,0.24
2022-01-01 07:00:00,419.05,22.42,63.84,174.19,109.75,10.6,7,1,1,5,0,1,0,15.98,2.76,61.2,0.01
2022-01-01 08:00:00,336.04,26.78,59.91,178.26,116.72,5.91,8,1,1,5,0,1,0,15.38,3.08,75.23,0.41
2022-01-01 09:00:00,568.98,13.26,33.96,139.81,122.31,7.69,9,1,1,5,0,1,0,15.61,1.41,60.85,0.21
2022-01-01 10:00:00,277.96,35.09,56.78,189.41,124.82,7.39,10,1,1,5,0,1,0,15.91,1.11,63.78,0.47
2022-01-01 11:00:00,327.81,19.09,44.75,193.85,122.5,5.33,11,1,1,5,0,1,0,15.1,2.73,56.27,0.67
2022-01-01 12:00:00,632.5,45.88,56.48,195.59,197.48,5.29,12,1,1,5,0,1,0,17.05,2.53,60.22,5.03
