datetimeLocal,CO,NO2,O3,PM10,PM2.5,SO2,hour,day,month,day_of_week,crop_burning,winter_inversion,diwali,T2M,WS2M,RH2M,PRECTOTCORR
2022-01-01 00:00:00,256.36,10.56,44.99,59.18,70.0,6.89,0,1,1,5,0,1,0,13.49,2.64,58.87,0.37
2022-01-01 01:00:00,119.38,4.47,62.67,45.37,10.0,8.85,1,1,1,5,0,1,0,13.26,1.62,48.29,0.75
2022-01-01 02:00:00,271.18,11.57,49.39,119.7,104.54,3.37,2,1,1,5,0,1,0,18.64,2.24,57.23,0.21
2022-01-01 03:00:00,223.44,34.41,72.73,162.7,94.27,6.28,3,1,1,5,0,1,0,12.24,2.97,59.46,0.73
2022-01-01 04:00:00,433.03,27.19,63.85,110.78,102.92,4.74,4,1,1,5,0,1,0,12.07,1.53,50.41,0.01
2022-01-01 05:00:00,356.22,34.12,67.9,135.86,113.21,5.82,5,1,1,5,0,1,0,18.42,2.38,70.93,0.14
2022-01-01 06:00:00,357.17,28.13,58.48,152.12,119.05,4.47,6,1,1,5,0,1,0,19.32,2.55,61.63,0.41
2022-01-01 07:00:00,326.9,53.51,43.6,155.67,127.11,7.63,7,1,1,5,0,1,0,17.21,1.54,81.95,0.04
2022-01-01 08:00:00,47.76,-1.74,49.69,18.16,31.26,2.31,8,1,1,5,0,1,0,18.92,2.95,66.78,0.2
2022-01-01 09:00:00,374.3,24.6,57.62,141.04,135.54,6.03,9,1,1,5,0,1,0,18.95,1.09,71.41,0.06
2022-01-01 10:00:00,429.99,16.0,55.45,186.03,136.5,6.74,10,1,1,5,0,1,0,21.02,0.67,61.67,0.46
2022-01-01 11:00:00,355.13,10.32,56.59,204.41,135.48,9.74,11,1,1,5,0,1,0,19.11,1.73,51.46,0.75
2022-01-01 12:00:00,239.44,25.65,67.5,197.29,144.46,9.83,12,1,1,5,0,1,0,21.13,3.15,61.32,0.63
2022-01-01 13:00:00,381.65,29.1,59.19,176.62,150.24,13.76,13,1,1,5,0,1,0,20.61,1.37,72.26,0.42
2022-01-01 14:00:00,448.55,54.44,39.37,176.69,147.76,3.89,14,1,1,5,0,1,0,18.13,3.28,63.05,0.32
2022-01-01 15:00:00,229.13,-0.2,35.33,89.43,76.14,3.61,15,1,1,5,0,1,0,16.74,0.53,44.56,0.49
2022-01-01 16:00:00,468.14,51.13,52.78,255.22,156.29,5.42,16,1,1,5,0,1,0,18.73,1.28,39.85,0.51
2022-01-01 17:00:00,429.35,40.34,43.15,177.65,159.38,3.84,17,1,1,5,0,1,0,16.38,2.68,47.55,0.55
2022-01-01 18:00:00,597.46,23.8,37.99,402.34,303.3,15.4,18,1,1,5,0,1,0,17.77,1.33,41.9,0.37
2022-01-01 19:00:00,500.95,37.22,49.26,241.13,153.73,11.21,19,1,1,5,0,1,0,12.62,1.88,53.08,0.43
2022-01-01 20:00:00,346.44,34.58,55.94,248.08,162.71,8.45,20,1,1,5,0,1,0,12.95,2.15,42.02,0.33
2022-01-01 21:00:00,249.36,39.88,31.46,201.83,162.67,10.89,21,1,1,5,0,1,0,11.22,1.04,47.25,0.6
2022-01-01 22:00:00,531.33,28.5,45.77,207.83,158.2,9.24,22,1,1,5,0,1,0,12.39,2.34,56.09,0.52
2022-01-01 23:00:00,425.6,29.0,47.47,173.68,159.04,12.7,23,1,1,5,0,1,0,13.01,1.94,53.58,0.64
2022-01-02 00:00:00,513.27,43.98,48.71,199.8,159.42,1.58,0,2,1,6,0,1,0,11.64,3.62,46.79,0.7
2022-01-02 01:00:00,399.0,20.57,36.48,202.87,164.74,3.88,1,2,1,6,0,1,0,13.88,2.78,48.37,0.58
2022-01-02 02:00:00,454.06,28.92,66.46,226.33,169.76,6.53,2,2,1,6,0,1,0,14.75,1.54,70.66,2.66
2022-01-02 03:00:00,484.78,33.72,39.11,274.9,172.53,10.64,3,2,1,6,0,1,0,15.1,1.6,66.85,0.7
2022-01-02 04:00:00,499.4,50.05,45.1,248.04,173.88,5.81,4,2,1,6,0,1,0,13.74,2.06,58.82,0.65
2022-01-02 05:00:00,474.5,14.72,66.49,231.74,170.37,7.22,5,2,1,6,0,1,0,14.35,0.46,70.97,0.28
2022-01-02 06:00:00,340.23,49.55,50.66,250.99,172.73,4.48,6,2,1,6,0,1,0,17.56,1.99,83.69,0.01
2022-01-02 07:00:00,198.32,23.7,62.35,179.12,91.93,3.59,7,2,1,6,0,1,0,18.41,3.49,64.63,0.44
2022-01-02 08:00:00,564.18,12.43,53.52,222.07,173.82,7.92,8,2,1,6,0,1,0,19.9,1.55,63.59,0.66
2022-01-02 09:00:00,685.11,19.99,55.57,189.37,178.38,12.17,9,2,1,6,0,1,0,20.64,1.33,55.78,0.5
2022-01-02 10:00:00,392.2,36.06,42.01,250.73,175.79,12.0,10,2,1,6,0,1,0,19.46,1.15,90.67,0.79
2022-01-02 11:00:00,452.23,31.03,57.47,176.77,175.99,7.61,11,2,1,6,0,1,0,21.07,0.15,56.98,0.38
2022-01-02 12:00:00,378.19,27.31,48.66,228.53,162.35,9.29,12,2,1,6,0,1,0,16.74,1.62,53.99,1.46
2022-01-02 13:00:00,709.34,21.86,38.11,233.67,175.96,9.55,13,2,1,6,0,1,0,16.85,1.44,54.62,1.19
2022-01-02 14:00:00,479.0,29.02,58.05,217.81,179.53,8.85,14,2,1,6,0,1,0,17.32,2.29,60.86,0.36
2022-01-02 15:00:00,505.48,47.96,47.52,252.17,181.47,8.23,15,2,1,6,0,1,0,13.83,2.16,66.07,0.73
2022-01-02 16:00:00,642.85,37.09,42.64,314.85,231.0,12.45,16,2,1,6,0,1,0,20.72,1.29,59.94,0.47
2022-01-02 17:00:00,368.62,30.32,46.76,266.34,183.18,7.04,17,2,1,6,0,1,0,16.95,1.95,51.7,0.71
2022-01-02 18:00:00,527.59,25.14,58.08,272.46,178.0,9.72,18,2,1,6,0,1,0,15.38,1.59,54.87,0.27
2022-01-02 19:00:00,482.15,46.32,32.3,179.38,182.88,16.0,19,2,1,6,0,1,0,13.24,1.16,41.75,0.19
2022-01-02 20:00:00,558.26,13.86,46.09,269.06,189.36,12.12,20,2,1,6,0,1,0,14.65,1.36,43.19,0.03
2022-01-02 21:00:00,683.11,55.93,37.85,257.37,188.36,6.83,21,2,1,6,0,1,0,11.07,1.79,49.59,0.69
2022-01-02 22:00:00,388.94,21.24,47.09,282.29,188.51,6.92,22,2,1,6,0,1,0,12.76,1.42,50.42,0.64
2022-01-02 23:00:00,456.04,11.43,48.27,303.46,190.94,6.93,23,2,1,6,0,1,0,12.25,2.36,57.53,0.59
2022-01-03 00:00:00,430.28,13.55,52.09,257.13,197.06,8.81,0,3,1,0,0,1,0,13.19,1.29,56.86,0.36
2022-01-03 01:00:00,506.36,34.49,33.93,246.31,195.47,9.01,1,3,1,0,0,1,0,9.52,2.11,49.5,0.35
2022-01-03 02:00:00,543.57,48.54,56.79,253.15,192.95,6.06,2,3,1,0,0,1,0,10.64,1.33,60.77,0.42
2022-01-03 03:00:00,339.62,-6.74,63.66,141.32,98.65,4.7,3,3,1,0,0,1,0,11.42,0.89,49.83,0.63
2022-01-03 04:00:00,429.32,40.58,56.6,254.93,194.2,10.56,4,3,1,0,0,1,0,11.75,2.44,60.82,0.2
2022-01-03 05:00:00,288.4,22.18,50.76,132.27,102.13,7.41,5,3,1,0,0,1,0,13.51,3.35,57.1,0.19
2022-01-03 06:00:00,442.63,49.47,51.38,189.75,146.57,9.5,6,3,1,0,0,1,0,15.24,2.2,65.18,0.28
2022-01-03 07:00:00,221.64,30.4,52.14,147.5,137.42,4.85,7,3,1,0,0,1,0,17.76,1.93,54.95,0.64
2022-01-03 08:00:00,339.49,52.57,59.82,279.9,194.71,15.53,8,3,1,0,0,1,0,18.73,2.97,61.47,0.11
2022-01-03 09:00:00,654.79,28.93,60.02,294.73,195.92,9.53,9,3,1,0,0,1,0,21.03,2.02,67.75,0.72
2022-01-03 10:00:00,600.04,46.43,34.78,267.02,191.63,7.76,10,3,1,0,0,1,0,19.67,2.56,56.78,0.35
2022-01-03 11:00:00,728.5,57.56,49.64,279.36,189.47,11.19,11,3,1,0,0,1,0,20.66,2.65,62.14,0.29
2022-01-03 12:00:00,603.09,20.18,37.67,268.58,188.84,9.42,12,3,1,0,0,1,0,23.52,1.28,62.89,0.23
2022-01-03 13:00:00,515.95,41.57,57.22,243.19,190.29,9.23,13,3,1,0,0,1,0,16.03,1.82,55.01,0.1
2022-01-03 14:00:00,418.7,24.21,51.32,291.74,189.85,2.19,14,3,1,0,0,1,0,19.38,0.82,59.66,0.07
2022-01-03 15:00:00,660.74,45.72,44.37,274.62,190.34,9.21,15,3,1,0,0,1,0,14.17,1.22,50.5,0.42
2022-01-03 16:00:00,693.87,32.15,48.75,325.5,191.28,8.61,16,3,1,0,0,1,0,16.63,1.52,57.48,0.06
2022-01-03 17:00:00,329.39,48.21,60.57,273.21,186.26,5.03,17,3,1,0,0,1,0,16.23,1.6,47.88,0.46
2022-01-03 18:00:00,536.97,62.59,41.48,267.11,185.6,4.85,18,3,1,0,0,1,0,14.31,0.97,52.05,0.43
2022-01-03 19:00:00,485.2,28.97,58.57,316.8,183.86,6.79,19,3,1,0,0,1,0,13.04,1.69,56.31,0.28
2022-01-03 20:00:00,709.71,17.89,47.72,213.44,186.7,10.21,20,3,1,0,0,1,0,9.94,1.66,56.3,0.02
2022-01-03 21:00:00,492.84,22.39,49.3,260.66,188.13,12.89,21,3,1,0,0,1,0,12.37,2.07,42.88,0.01
2022-01-03 22:00:00,353.26,50.25,63.19,233.65,190.64,11.97,22,3,1,0,0,1,0,9.31,1.7,54.15,0.49
2022-01-03 23:00:00,507.91,33.05,43.8,291.15,189.68,7.13,23,3,1,0,0,1,0,11.76,3.09,52.03,0.31
2022-01-04 00:00:00,392.04,55.91,44.24,287.82,191.29,9.95,0,4,1,1,0,1,0,11.07,1.86,63.65,0.22
2022-01-04 01:00:00,514.91,45.7,51.42,245.98,179.44,13.29,1,4,1,1,0,1,0,6.63,3.24,46.97,0.7
2022-01-04 02:00:00,730.46,52.27,42.04,306.06,188.9,8.8,2,4,1,1,0,1,0,15.84,3.8,68.62,0.45
2022-01-04 03:00:00,605.19,18.86,32.87,296.38,192.05,14.77,3,4,1,1,0,1,0,15.24,1.37,67.27,0.25
2022-01-04 04:00:00,529.06,41.89,45.67,248.39,194.95,4.99,4,4,1,1,0,1,0,13.79,1.99,48.55,0.0
2022-01-04 05:00:00,469.93,41.2,45.79,233.67,138.65,7.42,5,4,1,1,0,1,0,17.2,1.3,72.61,0.23
2022-01-04 06:00:00,63.58,-0.25,67.89,75.67,44.55,9.21,6,4,1,1,0,1,0,18.8,2.32,54.45,0.13
2022-01-04 07:00:00,540.13,24.98,57.29,300.7,222.16,5.48,7,4,1,1,0,1,0,16.77,2.87,77.07,5.53
2022-01-04 08:00:00,319.22,5.36,50.04,160.93,111.16,6.58,8,4,1,1,0,1,0,20.18,2.64,52.76,0.62
2022-01-04 09:00:00,445.2,11.44,47.22,327.88,190.93,15.34,9,4,1,1,0,1,0,19.12,3.75,52.93,2.84
2022-01-04 10:00:00,333.89,25.97,46.92,221.4,184.4,7.0,10,4,1,1,0,1,0,21.79,1.57,64.86,0.3
2022-01-04 11:00:00,610.62,17.87,49.89,205.28,181.87,7.73,11,4,1,1,0,1,0,20.78,1.27,70.17,0.6
2022-01-04 12:00:00,471.89,24.78,47.48,275.09,177.28,4.21,12,4,1,1,0,1,0,20.27,2.52,49.56,0.26
2022-01-04 13:00:00,332.19,24.71,77.21,227.2,175.78,13.0,13,4,1,1,0,1,0,21.15,1.44,63.38,0.8
2022-01-04 14:00:00,595.98,23.92,53.9,247.11,178.9,11.26,14,4,1,1,0,1,0,19.71,0.15,51.12,0.6
2022-01-04 15:00:00,578.9,30.54,44.83,206.0,178.51,11.46,15,4,1,1,0,1,0,15.8,1.77,52.77,0.23
2022-01-04 16:00:00,347.25,52.4,52.89,195.58,147.36,7.73,16,4,1,1,0,1,0,16.51,2.54,54.73,0.62
2022-01-04 17:00:00,581.05,37.97,52.72,189.36,177.6,8.64,17,4,1,1,0,1,0,14.91,2.51,34.3,0.76
2022-01-04 18:00:00,445.48,24.17,45.63,246.85,177.08,3.7,18,4,1,1,0,1,0,14.76,2.07,48.6,0.7
2022-01-04 19:00:00,365.61,43.12,47.41,267.83,181.97,9.32,19,4,1,1,0,1,0,14.5,2.0,41.85,0.67
2022-01-04 20:00:00,385.49,19.4,50.14,253.31,187.73,6.03,20,4,1,1,0,1,0,12.27,0.36,39.04,0.79
2022-01-04 21:00:00,545.08,27.73,57.77,269.08,185.72,13.84,21,4,1,1,0,1,0,9.82,2.78,55.94,0.36
2022-01-04 22:00:00,863.96,58.28,29.32,409.95,348.94,13.39,22,4,1,1,0,1,0,12.17,3.41,54.07,0.59
2022-01-04 23:00:00,530.08,22.72,66.22,222.53,183.04,4.53,23,4,1,1,0,1,0,10.98,1.85,62.45,0.19
2022-01-05 00:00:00,339.45,44.22,64.88,237.33,181.17,11.81,0,5,1,2,0,1,0,13.55,1.98,41.83,0.1
2022-01-05 01:00:00,338.48,38.7,43.23,263.76,181.46,7.98,1,5,1,2,0,1,0,12.84,2.07,49.34,0.79
2022-01-05 02:00:00,507.78,36.79,50.45,258.48,179.92,13.47,2,5,1,2,0,1,0,12.38,2.04,48.84,0.48
2022-01-05 03:00:00,586.05,34.34,53.99,268.48,179.98,11.17,3,5,1,2,0,1,0,12.74,2.21,52.82,0.65
2022-01-05 04:00:00,577.66,55.68,27.56,259.72,197.33,8.35,4,5,1,2,0,1,0,12.78,2.39,71.68,0.23
2022-01-05 05:00:00,381.89,69.28,46.22,243.48,185.07,4.15,5,5,1,2,0,1,0,9.78,3.36,58.54,0.2
