datetimeLocal,CO,NO2,O3,PM10,PM2.5,SO2,hour,day,month,day_of_week,crop_burning,winter_inversion,diwali,T2M,WS2M,RH2M,PRECTOTCORR
2022-01-01 00:00:00,303.61,16.02,56.08,52.28,54.0,10.22,0,1,1,5,0,1,0,7.44,2.66,47.43,0.12
2022-01-01 01:00:00,181.47,10.51,54.88,68.7,71.98,2.36,1,1,1,5,0,1,0,6.08,2.64,41.89,0.09
2022-01-01 02:00:00,467.26,54.12,52.73,397.07,253.57,8.17,2,1,1,5,0,1,0,10.64,0.66,63.51,0.64
2022-01-01 03:00:00,62.08,7.37,51.1,101.48,86.95,5.12,3,1,1,5,0,1,0,8.83,4.59,45.87,5.37
2022-01-01 04:00:00,276.62,14.76,58.68,109.36,89.72,5.65,4,1,1,5,0,1,0,13.53,3.12,63.59,0.71
2022-01-01 05:00:00,390.75,-12.63,32.29,139.35,98.98,11.06,5,1,1,5,0,1,0,8.84,3.31,53.13,0.25
2022-01-01 06:00:00,335.98,24.09,45.51,111.85,98.87,7.43,6,1,1,5,0,1,0,13.71,1.63,75.35,0.64
2022-01-01 07:00:00,244.09,20.01,59.29,122.25,100.05,5.15,7,1,1,5,0,1,0,13.66,2.54,36.86,4.95
2022-01-01 08:00:00,327.91,17.81,72.29,99.33,102.67,3.23,8,1,1,5,0,1,0,15.89,0.77,69.67,0.73
2022-01-01 09:00:00,324.33,17.27,64.03,162.14,107.94,4.72,9,1,1,5,0,1,0,13.33,1.28,58.11,0.77
2022-01-01 10:00:00,202.8,35.64,54.83,135.89,114.08,5.17,10,1,1,5,0,1,0,15.83,2.82,48.2,0.0
2022-01-01 11:00:00,278.17,12.71,54.07,220.4,115.76,5.66,11,1,1,5,0,1,0,18.34,2.31,63.97,0.7
2022-01-01 12:00:00,373.26,6.17,37.4,171.48,120.88,4.88,12,1,1,5,0,1,0,12.83,1.48,35.49,0.7
2022-01-01 13:00:00,306.03,26.05,52.29,189.8,120.06,1.05,13,1,1,5,0,1,0,13.72,1.64,43.63,0.57
2022-01-01 14:00:00,335.54,30.48,48.42,160.01,120.79,10.06,14,1,1,5,0,1,0,15.92,3.15,49.53,0.43
2022-01-01 15:00:00,442.75,18.64,43.55,204.87,123.02,5.34,15,1,1,5,0,1,0,11.82,2.49,55.3,0.15
2022-01-01 16:00:00,307.79,19.99,53.42,175.07,126.39,5.9,16,1,1,5,0,1,0,14.98,3.29,54.86,0.44
2022-01-01 17:00:00,479.83,35.98,38.13,168.86,133.08,6.35,17,1,1,5,0,1,0,9.89,1.31,39.81,0.06
2022-01-01 18:00:00,475.15,15.91,52.78,206.48,136.44,11.39,18,1,1,5,0,1,0,9.19,0.15,26.87,0.37
2022-01-01 19:00:00,228.88,14.93,46.21,175.62,130.68,7.27,19,1,1,5,0,1,0,10.96,1.52,35.36,0.03
2022-01-01 20:00:00,404.68,15.55,51.29,161.52,136.28,8.03,20,1,1,5,0,1,0,8.64,0.88,34.95,0.0
2022-01-01 21:00:00,351.06,23.46,36.54,122.61,142.3,6.79,21,1,1,5,0,1,0,9.9,3.05,53.84,0.63
2022-01-01 22:00:00,485.33,25.08,41.83,234.04,148.67,4.38,22,1,1,5,0,1,0,8.89,3.17,36.68,0.24
